flip_id,speakers,utterances,emotions,triggers,dialog_id
0,Chandler,also I was the point person on my company's transition from the KL-5 to GR-6 system.,neutral,0.0,0
0,The Interviewer,You must've had your hands full.,neutral,0.0,0
0,Chandler,That I did. That I did.,neutral,0.0,0
0,The Interviewer,So let's talk a little bit about your duties.,neutral,1.0,0
0,Chandler,My duties?  All right.,surprise,0.0,0
1,Chandler,also I was the point person on my company's transition from the KL-5 to GR-6 system.,neutral,0.0,0
1,The Interviewer,You must've had your hands full.,neutral,0.0,0
1,Chandler,That I did. That I did.,neutral,0.0,0
1,The Interviewer,So let's talk a little bit about your duties.,neutral,0.0,0
1,Chandler,My duties?  All right.,surprise,0.0,0
1,The Interviewer,"Now you'll be heading a whole division, so you'll have a lot of duties.",neutral,1.0,0
1,Chandler,I see.,neutral,0.0,0
2,Chandler,also I was the point person on my company's transition from the KL-5 to GR-6 system.,neutral,0.0,0
2,The Interviewer,You must've had your hands full.,neutral,0.0,0
2,Chandler,That I did. That I did.,neutral,0.0,0
2,The Interviewer,So let's talk a little bit about your duties.,neutral,0.0,0
2,Chandler,My duties?  All right.,surprise,0.0,0
2,The Interviewer,"Now you'll be heading a whole division, so you'll have a lot of duties.",neutral,0.0,0
2,Chandler,I see.,neutral,0.0,0
2,The Interviewer,But there'll be perhaps 30 people under you so you can dump a certain amount on them.,neutral,1.0,0
2,Chandler,Good to know.,neutral,0.0,0
2,The Interviewer,We can go into detail,neutral,1.0,0
2,Chandler,No don't I beg of you!,fear,0.0,0
3,Chandler,also I was the point person on my company's transition from the KL-5 to GR-6 system.,neutral,0.0,0
3,The Interviewer,You must've had your hands full.,neutral,0.0,0
3,Chandler,That I did. That I did.,neutral,0.0,0
3,The Interviewer,So let's talk a little bit about your duties.,neutral,0.0,0
3,Chandler,My duties?  All right.,surprise,0.0,0
3,The Interviewer,"Now you'll be heading a whole division, so you'll have a lot of duties.",neutral,0.0,0
3,Chandler,I see.,neutral,0.0,0
3,The Interviewer,But there'll be perhaps 30 people under you so you can dump a certain amount on them.,neutral,0.0,0
3,Chandler,Good to know.,neutral,0.0,0
3,The Interviewer,We can go into detail,neutral,0.0,0
3,Chandler,No don't I beg of you!,fear,0.0,0
3,The Interviewer,"All right then, we'll have a definite answer for you on Monday, but I think I can say with some confidence, you'll fit in well here.",neutral,1.0,0
