dialog_id,speakers,utterances,emotions
0,maya,kya kya bhar ke rakha hai indravadan ne is ghar mein indravadan please tum sari bekar ki chijen bahar kyon nahin fekte?,disgust
0,indu,"ok, chalo rosesh chalo bahar",contempt
0,rosesh,momma! hath chhodiye dad!,anger
0,indu,"dekho maya ya na bol raha hai! fir tum hi kahogi faltu chijen jama karte ho fekte nahin ho, chalo",neutral
0,maya,"indravadan, tum kitne salo se ye joke maar rahe ho. koi hota hai aaj tak?",neutral
0,indu,kaikai pe joke maroge to manthra thodi na hasegi,contempt
0,rosesh,very funny,contempt
0,indu,"maya, monisha aur sahil aa rahe hain, dekhna yahi jo un per istemal karta hun aur dekhna vah kitna haste hain",neutral
0,sahil,hi guys,joy
0,rosesh,hi,joy
0,maya,"hi darling. achcha indravadan, please ya kachra bahar fenko!",neutral
0,indu,"ok maya, chalo rosesh tumhen bahar fenk au",neutral
0,sahil,mom! diwali ka lunch hamare ghar pe,joy
0,monish,aur mein khana fresh banane wali hun,joy
0,maya,"i rest my case indravadan. hase donon, huh? achcha ab to please kachra bahar fenk do",neutral
0,indu,"ok maya, chalo monisha tumhe bahar fenk aau",neutral
0,maya,"ha ha ha, indravadan you are so funny",joy
0,indu,"haila, sahil! tumhare diwali lunch per hai na maiya ko keede, makode aur mukhiya khilana",neutral
0,indu,kyunki jab maine wahi joke rosesh pe mara to bilkul nahin hasi lekin vahi joke jab maine monisha per mara to dekho kaise has rahi hai!,contempt
0,maya,acha now cut it out huh indravadan. rosesh sweety tumhi nikalo na sara kachra bahar,neutral
0,rosesh,"ok chaliye dad, mein aapko bahar fenk kar aata hun!",joy
0,maya,"haha, you asked for that one. sahil darling tumhi madad kar do please meri. mera ghar to ekadam monisha ka ghar ban gaya hai!",contempt
1,maya,rosesh beta happy diwali!,joy
1,rosesh,you bet momma.,neutral
1,indu,"rosesh bete, diwali mubarak ho!",joy
1,rosesh,"please dad mubarak ho aisa shabd istemal na karen to behtar hoga kyunki mere paida hone per ""mubarak ho aapko teesra baccha hua hai"" aisa to kisi ne nahin kaha hoga na?",sadness
1,maya,how can you say that rosesh?,neutral
1,maya,tumhen maloom nahin indravadan to khushi se nach utha tha vahi nursing home mein!,joy
1,indu,"han han yad hai! yad hai! aur maya tum bhi to kitna naachi thi, yad hai tumhen?",neutral
1,maya,meri cesarean delivery hui thi indravadan!,neutral
1,rosesh,aur mithaai kaun si bati thi?,neutral
1,indu,baithi thi na mithaiyan! vah kadak bundi ke laddu bate the. haina?,neutral
1,maya,dry fruits ke boxes baate the indravadan!,neutral
1,indu,"are haan, yad aaya dryfruits ke boxes bate the! unn dino diwalil bhi to thi to lage hatho humne...",neutral
1,rosesh,"it's ok momma. diwali ka ek bahana to tha, dry fruits bantne ka... mera janam to!",sadness
1,monisha,"happy diwali! mummy ji ye liljiye aapka gift, candal. kesa laga?",joy
1,maya,jaisa laga so laga tumhen achcha laga na?,contempt
1,monisha,haan.,joy
1,maya,to tang do kahin bhi,neutral
1,monisha,"aur mummy ji yah stickers kahan lagaun? ""shubh labh"", ""happy diwali"", ""welcome"" wale?",joy
1,maya,yah plastic ke stickers tumne kahan se khariden?,contempt
1,monisha,khareed nahin mummy ji mujhe dukandar ne aise hi de diye. mujhe aate hue dekhkar dukandar ne kaha ki bahan ji please jor jor se bhav mat karna jo chahie aise hi muft mein le jaaiye!,joy
1,sahil,aur tumne le liye?,neutral
1,monisha,haan! ismein se do to main bech bhi diye sahil! kahan lagau balcony main?,joy
1,maya,jahan ji chahe laga do ab yah ghar to hamara raha hi nhi. chalo indravadan.,neutral
1,indu,haan chalo maya,neutral
1,sahil,ek minute! mom-dad aap donon kahan ja rahe ho?,neutral
1,indu,"pata nahin beta lekin jo zyattiyan humne rosesh pe ki hain, shayad usi ka yah prayashchit hai",sadness
1,maya,"indravadan prayaschit is melodramatically middle class. rosesh beta, aaj se yah ghar tumhara. consider this our penance. tum kahin nahin jaaoge ham hi chale jaenge. happy diwali and goodbye. chalo indu.",sadness
1,indu,"maya ye to rok hi nhi rha hai, kahan jaenge hum log?",neutral
1,sahil,rosesh kya kar rahe ho? mom and dad ghar chhodkar ja rahe hain!,neutral
1,indu,"dekha mujhe pata tha ki yah nalayak kuchh zyatti karega. ab kya karen? kuchh karo, tum karo!",neutral
1,maya,"rosesh beta, yah middle class ghar ab tumhen mubarak ho.",sadness
1,indu,"ab bhi koi asar nhi ho rha hai, me karta hun. rosesh bete suno meri almari ke teesre drawer main kuchh dvds rakhi hai, wo mat dekhna, huh? or, or bete suno, maa baap to aakhir maa baap hi hote hain!",neutral
1,rosesh,momma please aap...,neutral
1,maya,acha! nahin jaaungi main!,neutral
1,indu,hum! hum nhi jaenge bete!,neutral
1,rosesh,momma!!,joy
1,monisha,chalo inki katti khatam ho gyi!,joy
1,maya,"differences resolve ho gye monisha! katti khatam hogyi is as pathetic as tumara ye candel and ye stickers, nilao inhe bahr. ab inss ghar se agar koi jayega to tumare yeh moddle class decorations. out out! happy diwali baby",joy
2,maya,radha bai! vitthal! monisha!,neutral
2,indu,"maya suno, ye kachra nahin hai. yah meri jeans hai favourite.",fear
2,maya,tumhari favourite jeans mein itna bada chhed hai!,disgust
2,indu,han to aajkal wo chhed wale kapde pehna fashion mein hai.,neutral
2,maya,"indravadan ghutne pe ya thighs pe chhed ho tab wo jeans fashionable hoti hai, ismein kahan chhed hai dikhao?",contempt
2,maya,radha bai! rosesh!,neutral
2,indu,"haha, kamal hai na dono kam wali bayian aaj gayab hai.",joy
2,maya,indu! tumhi uthakar ke fenk do bahar chalo.,neutral
2,indu,haila yah to meri favourite chocolate ka dibba hai maya!,surprise
2,maya,tumhari favourite chocolate expire ho chuki hai,neutral
2,indu,"rahane do na maya, kam aaegi",neutral
2,maya,kya kam aaegi?,neutral
2,indu,main kha lunga,neutral
